Date,Calls,day,sin_day_of_week,cos_day_of_week,sin_month,cos_month,sin_week_of_year,cos_week_of_year,is_holiday
2017-07-02,299,2,-0.7818314824680299,0.6234898018587334,1.2246467991473532e-16,-1.0,-3.216245299353273e-16,-1.0,0
2017-07-03,554,3,0.0,1.0,1.2246467991473532e-16,-1.0,-0.12053668025532283,-0.992708874098054,0
2017-07-04,295,4,0.7818314824680298,0.6234898018587336,1.2246467991473532e-16,-1.0,-0.12053668025532283,-0.992708874098054,1
2017-07-05,554,5,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0,-0.12053668025532283,-0.992708874098054,0
2017-07-06,554,6,0.43388373911755823,-0.900968867902419,1.2246467991473532e-16,-1.0,-0.12053668025532283,-0.992708874098054,0
2017-07-07,488,7,-0.433883739117558,-0.9009688679024191,1.2246467991473532e-16,-1.0,-0.12053668025532283,-0.992708874098054,0
2017-07-08,279,8,-0.9749279121818236,-0.2225209339563146,1.2246467991473532e-16,-1.0,-0.12053668025532283,-0.992708874098054,0
2017-07-09,262,9,-0.7818314824680299,0.6234898018587334,1.2246467991473532e-16,-1.0,-0.12053668025532283,-0.992708874098054,0
2017-07-10,597,10,0.0,1.0,1.2246467991473532e-16,-1.0,-0.23931566428755743,-0.9709418174260521,0
2017-07-11,547,11,0.7818314824680298,0.6234898018587336,1.2246467991473532e-16,-1.0,-0.23931566428755743,-0.9709418174260521,0
2017-07-12,549,12,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0,-0.23931566428755743,-0.9709418174260521,0
2017-07-13,531,13,0.43388373911755823,-0.900968867902419,1.2246467991473532e-16,-1.0,-0.23931566428755743,-0.9709418174260521,0
2017-07-14,477,14,-0.433883739117558,-0.9009688679024191,1.2246467991473532e-16,-1.0,-0.23931566428755743,-0.9709418174260521,0
2017-07-15,288,15,-0.9749279121818236,-0.2225209339563146,1.2246467991473532e-16,-1.0,-0.23931566428755743,-0.9709418174260521,0
2017-07-16,293,16,-0.7818314824680299,0.6234898018587334,1.2246467991473532e-16,-1.0,-0.23931566428755743,-0.9709418174260521,0
2017-07-17,517,17,0.0,1.0,1.2246467991473532e-16,-1.0,-0.3546048870425356,-0.9350162426854148,0
2017-07-18,520,18,0.7818314824680298,0.6234898018587336,1.2246467991473532e-16,-1.0,-0.3546048870425356,-0.9350162426854148,0
2017-07-19,507,19,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0,-0.3546048870425356,-0.9350162426854148,0
2017-07-20,528,20,0.43388373911755823,-0.900968867902419,1.2246467991473532e-16,-1.0,-0.3546048870425356,-0.9350162426854148,0
2017-07-21,483,21,-0.433883739117558,-0.9009688679024191,1.2246467991473532e-16,-1.0,-0.3546048870425356,-0.9350162426854148,0
2017-07-22,269,22,-0.9749279121818236,-0.2225209339563146,1.2246467991473532e-16,-1.0,-0.3546048870425356,-0.9350162426854148,0
2017-07-23,269,23,-0.7818314824680299,0.6234898018587334,1.2246467991473532e-16,-1.0,-0.3546048870425356,-0.9350162426854148,0
2017-07-24,597,24,0.0,1.0,1.2246467991473532e-16,-1.0,-0.46472317204376806,-0.8854560256532101,0
2017-07-25,544,25,0.7818314824680298,0.6234898018587336,1.2246467991473532e-16,-1.0,-0.46472317204376806,-0.8854560256532101,0
2017-07-26,488,26,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0,-0.46472317204376806,-0.8854560256532101,0
2017-07-27,503,27,0.43388373911755823,-0.900968867902419,1.2246467991473532e-16,-1.0,-0.46472317204376806,-0.8854560256532101,0
2017-07-28,470,28,-0.433883739117558,-0.9009688679024191,1.2246467991473532e-16,-1.0,-0.46472317204376806,-0.8854560256532101,0
2017-07-29,286,29,-0.9749279121818236,-0.2225209339563146,1.2246467991473532e-16,-1.0,-0.46472317204376806,-0.8854560256532101,0
2017-07-30,296,30,-0.7818314824680299,0.6234898018587334,1.2246467991473532e-16,-1.0,-0.46472317204376806,-0.8854560256532101,0
2017-07-31,572,31,0.0,1.0,1.2246467991473532e-16,-1.0,-0.5680647467311556,-0.8229838658936566,0
2017-08-01,482,1,0.7818314824680298,0.6234898018587336,-0.4999999999999997,-0.8660254037844388,-0.5680647467311556,-0.8229838658936566,0
2017-08-02,516,2,0.9749279121818236,-0.22252093395631434,-0.4999999999999997,-0.8660254037844388,-0.5680647467311556,-0.8229838658936566,0
2017-08-03,502,3,0.43388373911755823,-0.900968867902419,-0.4999999999999997,-0.8660254037844388,-0.5680647467311556,-0.8229838658936566,0
2017-08-04,410,4,-0.433883739117558,-0.9009688679024191,-0.4999999999999997,-0.8660254037844388,-0.5680647467311556,-0.8229838658936566,0
2017-08-05,278,5,-0.9749279121818236,-0.2225209339563146,-0.4999999999999997,-0.8660254037844388,-0.5680647467311556,-0.8229838658936566,0
2017-08-06,243,6,-0.7818314824680299,0.6234898018587334,-0.4999999999999997,-0.8660254037844388,-0.5680647467311556,-0.8229838658936566,0
2017-08-07,410,7,0.0,1.0,-0.4999999999999997,-0.8660254037844388,-0.663122658240795,-0.7485107481711013,0
